Class,Precision,Recall,F1-Score
bad,0.9741935483870968,0.967948717948718,0.9710610932475884
sad,0.9635036496350365,0.9635036496350365,0.9635036496350365
best,0.9694656488549618,0.9769230769230769,0.9731800766283525
glad,0.9668874172185431,0.9358974358974359,0.9511400651465798
scared,0.9655172413793104,0.9459459459459459,0.9556313993174061
stiff,0.9565217391304348,0.9777777777777777,0.967032967032967
surprise,0.9440559440559441,0.9782608695652174,0.9608540925266904
